t=3.51s
ASSEMBLY ID                                                    ACT         FR
a1:L4_EXCITATORY:19                                         0.1551     1.0006
a1:L4_EXCITATORY:2                                          0.1550     1.0002
a1:L4_EXCITATORY:20                                         0.1549     0.9993
a1:L4_EXCITATORY:21                                         0.1552     1.0015
a1:L4_EXCITATORY:22                                         0.1548     0.9987
a1:L4_EXCITATORY:23                                         0.1550     0.9999
a1:L4_EXCITATORY:24                                         0.1546     0.9969
a1:L4_EXCITATORY:25                                         0.1551     1.0005
a1:L4_EXCITATORY:26                                         0.1550     0.9999
a1:L4_EXCITATORY:27                                         0.1549     0.9993
a1:L4_EXCITATORY:28                                         0.1549     0.9991
a1:L4_EXCITATORY:29                                         0.1547     0.9978
a1:L4_EXCITATORY:3                                          0.1548     0.9987
a1:L4_EXCITATORY:30                                         0.1548     0.9987
a1:L4_EXCITATORY:31                                         0.1550     1.0004
a1:L4_EXCITATORY:32                                         0.1550     1.0001
a1:L4_EXCITATORY:33                                         0.1548     0.9984
a1:L4_EXCITATORY:34                                         0.1547     0.9974
a1:L4_EXCITATORY:35                                         0.1551     1.0009
a1:L4_EXCITATORY:36                                         0.1550     0.9997
a1:L4_EXCITATORY:37                                         0.1553     1.0023
a1:L4_EXCITATORY:38                                         0.1550     0.9998
a1:L4_EXCITATORY:39                                         0.1548     0.9981
a1:L4_EXCITATORY:4                                          0.1549     0.9995
a1:L4_EXCITATORY:40                                         0.1550     1.0003
a1:L4_EXCITATORY:41                                         0.1548     0.9982
a1:L4_EXCITATORY:42                                         0.1549     0.9994
a1:L4_EXCITATORY:43                                         0.1551     1.0006
a1:L4_EXCITATORY:44                                         0.1552     1.0019
a1:L4_EXCITATORY:45                                         0.1545     0.9961
a1:L4_EXCITATORY:46                                         0.1549     0.9996
a1:L4_EXCITATORY:47                                         0.1549     0.9995
a1:L4_EXCITATORY:48                                         0.1550     0.9998
a1:L4_EXCITATORY:49                                         0.1550     1.0002
a1:L4_EXCITATORY:5                                          0.1552     1.0018
a1:L4_EXCITATORY:50                                         0.1550     1.0000
a1:L4_EXCITATORY:51                                         0.1551     1.0009
a1:L4_EXCITATORY:52                                         0.1550     0.9996
a1:L4_EXCITATORY:53                                         0.1551     1.0008
a1:L4_EXCITATORY:54                                         0.1552     1.0014
a1:L4_EXCITATORY:55                                         0.1550     1.0002
a1:L4_EXCITATORY:56                                         0.1552     1.0014
a1:L4_EXCITATORY:57                                         0.1550     0.9999
a1:L4_EXCITATORY:58                                         0.1548     0.9981
a1:L4_EXCITATORY:59                                         0.1548     0.9987
a1:L4_EXCITATORY:6                                          0.1549     0.9994
a1:L4_EXCITATORY:60                                         0.1548     0.9981
a1:L4_EXCITATORY:61                                         0.1553     1.0024
a1:L4_EXCITATORY:62                                         0.1550     1.0001
a1:L4_EXCITATORY:63                                         0.1549     0.9996
a1:L4_EXCITATORY:64                                         0.1551     1.0009
a1:L4_EXCITATORY:65                                         0.1548     0.9983
a1:L4_EXCITATORY:66                                         0.1550     1.0002
a1:L4_EXCITATORY:67                                         0.1552     1.0012
a1:L4_EXCITATORY:68                                         0.1549     0.9992
a1:L4_EXCITATORY:69                                         0.1550     0.9998
a1:L4_EXCITATORY:7                                          0.1548     0.9986
a1:L4_EXCITATORY:70                                         0.1549     0.9993
a1:L4_EXCITATORY:71                                         0.1552     1.0012
a1:L4_EXCITATORY:72                                         0.1547     0.9975
a1:L4_EXCITATORY:73                                         0.1548     0.9986
a1:L4_EXCITATORY:74                                         0.1550     1.0001
a1:L4_EXCITATORY:75                                         0.1550     1.0000
a1:L4_EXCITATORY:76                                         0.1549     0.9996
a1:L4_EXCITATORY:77                                         0.1550     1.0000
a1:L4_EXCITATORY:78                                         0.1548     0.9983
a1:L4_EXCITATORY:79                                         0.1550     0.9999
a1:L4_EXCITATORY:8                                          0.1550     1.0002
a1:L4_EXCITATORY:80                                         0.1551     1.0006
a1:L4_EXCITATORY:81                                         0.1548     0.9988
a1:L4_EXCITATORY:82                                         0.1550     1.0004
a1:L4_EXCITATORY:83                                         0.1549     0.9990
a1:L4_EXCITATORY:84                                         0.1549     0.9995
a1:L4_EXCITATORY:85                                         0.1547     0.9980
a1:L4_EXCITATORY:86                                         0.1553     1.0024
a1:L4_EXCITATORY:87                                         0.1546     0.9969
a1:L4_EXCITATORY:88                                         0.1549     0.9995
a1:L4_EXCITATORY:89                                         0.1548     0.9983
a1:L4_EXCITATORY:9                                          0.1552     1.0018
a1:L4_EXCITATORY:90                                         0.1551     1.0010
a1:L4_EXCITATORY:91                                         0.1550     1.0003
a1:L4_EXCITATORY:92                                         0.1550     0.9998
a1:L4_EXCITATORY:93                                         0.1550     1.0000
a1:L4_EXCITATORY:94                                         0.1549     0.9995
a1:L4_EXCITATORY:95                                         0.1549     0.9993
a1:L4_EXCITATORY:96                                         0.1554     1.0035
a1:L4_EXCITATORY:97                                         0.1548     0.9983
a1:L4_EXCITATORY:98                                         0.1549     0.9994
a1:L4_EXCITATORY:99                                         0.1551     1.0004
amyg_base:PYRAMIDAL_CELLS:0                                 0.1548     0.9985
amyg_base:PYRAMIDAL_CELLS:1                                 0.1550     0.9998
amyg_base:PYRAMIDAL_CELLS:10                                0.1547     0.9975
amyg_base:PYRAMIDAL_CELLS:11                                0.1547     0.9974
amyg_base:PYRAMIDAL_CELLS:12                                0.1550     1.0001
amyg_base:PYRAMIDAL_CELLS:13                                0.1550     0.9997
amyg_base:PYRAMIDAL_CELLS:14                                0.1547     0.9976
amyg_base:PYRAMIDAL_CELLS:15                                0.1552     1.0013
amyg_base:PYRAMIDAL_CELLS:16                                0.1548     0.9984
amyg_base:PYRAMIDAL_CELLS:17                                0.1551     1.0011
amyg_base:PYRAMIDAL_CELLS:18                                0.1551     1.0005
amyg_base:PYRAMIDAL_CELLS:19                                0.1551     1.0009
amyg_base:PYRAMIDAL_CELLS:2                                 0.1547     0.9977
amyg_base:PYRAMIDAL_CELLS:20                                0.1552     1.0018
amyg_base:PYRAMIDAL_CELLS:21                                0.1547     0.9977
amyg_base:PYRAMIDAL_CELLS:22                                0.1550     0.9997
amyg_base:PYRAMIDAL_CELLS:23                                0.1548     0.9982
amyg_base:PYRAMIDAL_CELLS:24                                0.1549     0.9991
amyg_base:PYRAMIDAL_CELLS:25                                0.1548     0.9988
amyg_base:PYRAMIDAL_CELLS:26                                0.1552     1.0016
amyg_base:PYRAMIDAL_CELLS:27                                0.1552     1.0014
amyg_base:PYRAMIDAL_CELLS:28                                0.1550     0.9999
amyg_base:PYRAMIDAL_CELLS:29                                0.1552     1.0013
amyg_base:PYRAMIDAL_CELLS:3                                 0.1551     1.0007
amyg_base:PYRAMIDAL_CELLS:30                                0.1550     0.9997
amyg_base:PYRAMIDAL_CELLS:31                                0.1548     0.9982
amyg_base:PYRAMIDAL_CELLS:32                                0.1549     0.9990
amyg_base:PYRAMIDAL_CELLS:33                                0.1549     0.9994
amyg_base:PYRAMIDAL_CELLS:34                                0.1548     0.9983
amyg_base:PYRAMIDAL_CELLS:35                                0.1552     1.0015
amyg_base:PYRAMIDAL_CELLS:36                                0.1551     1.0008
amyg_base:PYRAMIDAL_CELLS:37                                0.1547     0.9978
amyg_base:PYRAMIDAL_CELLS:38                                0.1553     1.0021
amyg_base:PYRAMIDAL_CELLS:39                                0.1549     0.9993
amyg_base:PYRAMIDAL_CELLS:4                                 0.1549     0.9990
amyg_base:PYRAMIDAL_CELLS:40                                0.1551     1.0007
amyg_base:PYRAMIDAL_CELLS:41                                0.1549     0.9995
amyg_base:PYRAMIDAL_CELLS:42                                0.1549     0.9990
amyg_base:PYRAMIDAL_CELLS:43                                0.1550     0.9998
amyg_base:PYRAMIDAL_CELLS:44                                0.1549     0.9993
amyg_base:PYRAMIDAL_CELLS:45                                0.1549     0.9995
amyg_base:PYRAMIDAL_CELLS:46                                0.1549     0.9990
amyg_base:PYRAMIDAL_CELLS:47                                0.1551     1.0011
amyg_base:PYRAMIDAL_CELLS:48                                0.1551     1.0005
amyg_base:PYRAMIDAL_CELLS:49                                0.1549     0.9989
amyg_base:PYRAMIDAL_CELLS:5                                 0.1551     1.0010
amyg_base:PYRAMIDAL_CELLS:50                                0.1552     1.0019
amyg_base:PYRAMIDAL_CELLS:51                                0.1549     0.9994
amyg_base:PYRAMIDAL_CELLS:52                                0.1549     0.9996
amyg_base:PYRAMIDAL_CELLS:53                                0.1549     0.9989
amyg_base:PYRAMIDAL_CELLS:54                                0.1549     0.9993
amyg_base:PYRAMIDAL_CELLS:55                                0.1548     0.9986
amyg_base:PYRAMIDAL_CELLS:56                                0.1552     1.0015
