step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
90,1770762893.932768,D1,0.484001180,0.419568490,0.294746303,D2,0.111734585
90,1770762893.932768,D2,0.669567763,0.580431510,0.406480888,D2,0.111734585
91,1770762894.062906,D1,0.484280254,0.419508331,0.296409797,D2,0.112391235
91,1770762894.062906,D2,0.670119357,0.580491669,0.408801032,D2,0.112391235
92,1770762894.161623,D1,0.484449114,0.419380329,0.298049404,D2,0.113042543
92,1770762894.161623,D2,0.670705482,0.580619671,0.411091947,D2,0.113042543
93,1770762894.254039,D1,0.484838001,0.419351190,0.299666761,D2,0.113685944
93,1770762894.254039,D2,0.671324216,0.580648810,0.413352705,D2,0.113685944
94,1770762894.347216,D1,0.485326474,0.419418263,0.301263448,D2,0.114318978
94,1770762894.347216,D2,0.671815492,0.580581737,0.415582425,D2,0.114318978
95,1770762894.443821,D1,0.485662013,0.419356872,0.302838026,D2,0.114945208
95,1770762894.443821,D2,0.672449481,0.580643128,0.417783235,D2,0.114945208
96,1770762894.535888,D1,0.486040465,0.419330275,0.304391256,D2,0.115563798
96,1770762894.535888,D2,0.673046999,0.580669725,0.419955055,D2,0.115563798
97,1770762894.627113,D1,0.486182104,0.419204812,0.305922104,D2,0.116177486
97,1770762894.627113,D2,0.673590136,0.580795188,0.422099590,D2,0.116177486
98,1770762894.717408,D1,0.486503976,0.419148677,0.307431792,D2,0.116784488
98,1770762894.717408,D2,0.674191506,0.580851323,0.424216280,D2,0.116784488
99,1770762894.809748,D1,0.486895385,0.419194352,0.308921959,D2,0.117382179
99,1770762894.809748,D2,0.674607347,0.580805648,0.426304138,D2,0.117382179
100,1770762894.888955,D1,0.487398167,0.419313497,0.310393846,D2,0.117968723
100,1770762894.888955,D2,0.674973591,0.580686503,0.428362569,D2,0.117968723
101,1770762894.998157,D1,0.487780094,0.419295293,0.311845865,D2,0.118547932
101,1770762894.998157,D2,0.675553010,0.580704707,0.430393798,D2,0.118547932
102,1770762895.089842,D1,0.487974052,0.419226493,0.313277607,D2,0.119121254
102,1770762895.089842,D2,0.676012624,0.580773507,0.432398861,D2,0.119121254
103,1770762895.187174,D1,0.488229617,0.419169383,0.314689498,D2,0.119688453
103,1770762895.187174,D2,0.676525340,0.580830617,0.434377951,D2,0.119688453
104,1770762895.280861,D1,0.488447395,0.419057484,0.316081071,D2,0.120251074
104,1770762895.280861,D2,0.677138266,0.580942516,0.436332145,D2,0.120251074
105,1770762895.370088,D1,0.488829337,0.419099123,0.317454645,D2,0.120805083
105,1770762895.370088,D2,0.677551861,0.580900877,0.438259728,D2,0.120805083
106,1770762895.460325,D1,0.489045576,0.419059155,0.318809371,D2,0.121352771
106,1770762895.460325,D2,0.677962877,0.580940845,0.440162143,D2,0.121352771
107,1770762895.549792,D1,0.489515483,0.419151490,0.320147266,D2,0.121890695
107,1770762895.549792,D2,0.678356978,0.580848510,0.442037961,D2,0.121890695
