
LIVE RUNTIME
Keyboard + TCP input enabled (port 5557)
Ctrl+C to quit | type 'help' for commands
--------------------------------------------------------------------------------
[CMD] Listening on 127.0.0.1:5557

--------------------------------------------------------------------------------
t=1.00s | state=awake
ASSEMBLY ID                                                    ACT         FR
bla:PYRAMIDAL_CELLS:0                                       0.0147     0.0117
ca1:PYRAMIDAL_CELLS:0                                       0.0151     0.0128
ca3:PYRAMIDAL_CELLS:0                                       0.0159     0.0145
cerebellar_cortex:GRANULE_CELLS:0                           0.0145     0.0112
cerebellar_cortex:GRANULE_CELLS:1                           0.0143     0.0107
cerebellar_cortex:GRANULE_CELLS:2                           0.0145     0.0112
cerebellar_cortex:GRANULE_CELLS:3                           0.0146     0.0113
cerebellar_cortex:INTERNEURONS:0                            0.0146     0.0114
corpus_callosum:CALLOSAL_FIBERS:0                           0.0146     0.0114
corpus_callosum:CALLOSAL_FIBERS:1                           0.0147     0.0116
dentate_gyrus:GRANULE_CELLS:0                               0.0145     0.0111
dentate_gyrus:GRANULE_CELLS:1                               0.0144     0.0110
gpe:OUTPUT_NEURONS:COMPETITOR_SUPPRESSORS:0                 0.0119     0.0048
gpe:OUTPUT_NEURONS:EXPLORATORY_MODULATORS:0                 0.0126     0.0065
gpi:OUTPUT_NEURONS:SELECTIVE_RELEASE_UNITS:0                0.0131     0.0077
gpi:OUTPUT_NEURONS:TONIC_SUPPRESSORS:0                      0.0124     0.0060
inferior_colliculus:CENTRAL_NUCLEUS:0                       0.0147     0.0116
inferior_colliculus:EXTERNAL_CORTEX:0                       0.0143     0.0107
insula:INTERNEURONS:0                                       0.0143     0.0107
insula:L2_3_PYRAMIDAL:0                                     0.0144     0.0109
insula:L5_PYRAMIDAL:0                                       0.0144     0.0110
lgn:RELAY_CELLS:0                                           0.0158     0.0143
m1:INTERNEURONS:0                                           0.0146     0.0114
m1:L2_3_PYRAMIDAL:0                                         0.0142     0.0105
m1:L5_PYRAMIDAL:0                                           0.0144     0.0108
md:RELAY_CELLS:ATTENTIONAL_AMPLIFIERS:0                     0.0259     0.0631
md:RELAY_CELLS:FLEXIBILITY_GATES:0                          0.0261     0.0677
md:RELAY_CELLS:NOISE_FILTERS:0                              0.0255     0.0384
md:RELAY_CELLS:PERSISTENCE_GATES:0                          0.0347     0.0609
mgb:RELAY_CELLS:0                                           0.0170     0.0175
pfc:INTERNEURONS:ADAPTIVE_INHIBITORS:0                      0.0295     0.0481
pfc:INTERNEURONS:FAST_SPIKING:0                             0.0292     0.0476
pfc:INTERNEURONS:GLOBAL_DAMPENERS:0                         0.0292     0.0473
pfc:L2_3_PYRAMIDAL:ASSOCIATIVE_INTEGRATORS:0                0.0293     0.0478
pfc:L2_3_PYRAMIDAL:CONTEXT_MAINTAINERS:0                    0.0295     0.0482
pfc:L2_3_PYRAMIDAL:DISTRACTOR_SUPPRESSORS:0                 0.0294     0.0479
pfc:L5_PYRAMIDAL:ACTION_PLANNERS:0                          0.0295     0.0481
pfc:L5_PYRAMIDAL:COMPETING_POLICY_ENCODERS:0                0.0296     0.0484
pfc:L5_PYRAMIDAL:INHIBITORY_CONTROL_DRIVERS:0               0.0296     0.0485
